disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
5154,,,,,3644.11,,,2020-07-21T00:00:00.000Z,,282390,f95f6ec998d60dba8b13f00737b9fef8,2020-07-21T11:55:32.466Z,5aa2d588cb4f0f7020b188ed
5105,,,,,1347342.41,39727.8,,2020-07-21T00:00:00.000Z,,39376,02478e41367ac80e4466510390964941,2020-07-21T11:55:32.391Z,5aa2d588cb4f0f7020b188cd
5146,,,,,52849841.09,290294.93,,2020-07-21T00:00:00.000Z,,0,01148dd6a9979ebd2ccaef6b28c419e0,2020-07-21T11:55:32.459Z,5aa2d588cb4f0f7020b188f2
5130,,,,,1727016.64,325357.99,,2020-07-21T00:00:00.000Z,,0,a18429862b8238cf27edf808ca13678e,2020-07-21T11:55:32.436Z,5aa2d588cb4f0f7020b188d2
5048,,,,,2273317.23,18443.35,,2020-07-21T00:00:00.000Z,,0,befabf6a99847187782b3fb71c77f7ab,2020-07-21T11:55:32.295Z,5aa2d588cb4f0f7020b188d7
5073,,,,,863545.8,1586.94,,2020-07-21T00:00:00.000Z,,0,945fde6f6904c47ecdb51d902af9dcfb,2020-07-21T11:55:32.324Z,5aa2d588cb4f0f7020b188dc
5098,,,,,1337.73,,,2020-07-21T00:00:00.000Z,,52480,f301963671dd370385a90e5d66a36777,2020-07-21T11:55:32.381Z,5aa2d588cb4f0f7020b188e1
5123,,,,,,,,,,0,edbb6a0524e556ea9e76f89132f8ce8c,2020-06-02T13:22:22.410Z,5aa2d588cb4f0f7020b188e6
5144,,,,,3455640.95,304896.1,,2020-07-21T00:00:00.000Z,,0,3c2c535fc2c16531bc753920144f1293,2020-07-21T11:55:32.458Z,5aa2d588cb4f0f7020b188eb
5136,,,,,711455.47,,,2020-07-21T00:00:00.000Z,,0,a529511cd3c58e279689c03b7650b6ec,2020-07-21T11:55:32.451Z,5aa2d588cb4f0f7020b188f0
5161,,,,,6696182.13,108923.14,,2020-07-21T00:00:00.000Z,,86084.75,7ce1df48d8cb6c41bc04e488f09fb867,2020-07-21T11:55:32.471Z,5aa2d588cb4f0f7020b188f5
5097,,,,,647448.82,26601.47,,2020-07-21T00:00:00.000Z,,73831,c9721e352094b43c83fa35aea004efbb,2020-07-21T11:55:32.380Z,5aa2d588cb4f0f7020b188a4
